product_id,product_name,category,price,rating
101,Wireless Mouse,Electronics,799,4.3
102,Keyboard,Electronics,1299,4.5
103,T-Shirt,Clothing,499,4.1
104,Jeans,Clothing,1499,4.4
105,Smart Watch,Electronics,2999,4.6
106,Running Shoes,Footwear,2499,4.5
107,Backpack,Accessories,999,4.2
108,Headphones,Electronics,1999,4.4
109,Sunglasses,Accessories,699,4.0
110,Water Bottle,Home,399,4.3
111,Laptop Stand,Electronics,1199,4.4
112,Office Chair,Furniture,6499,4.6
113,Notebook Pack,Stationery,299,4.2
114,Power Bank,Electronics,1799,4.5
115,Smartphone Cover,Accessories,399,4.1
116,Desk Lamp,Home,899,4.3
117,Formal Shirt,Clothing,1299,4.4
118,Sports Cap,Accessories,499,4.0
119,Coffee Mug,Home,349,4.2
120,Bluetooth Speaker,Electronics,2599,4.5
121,Backpack,Accessories,999,4.2
122,Bluetooth Speaker,Electronics,2599,4.5
123,Smartphone Cover,Accessories,399,4.1
124,Laptop Stand,Electronics,1199,4.4
125,Headphones,Electronics,1999,4.4
126,Backpack,Accessories,999,4.2
127,Coffee Mug,Home,349,4.2
128,Laptop Stand,Electronics,1199,4.4
129,Laptop Stand,Electronics,1199,4.4
130,Jeans,Clothing,1499,4.4
131,Headphones,Electronics,1999,4.4
132,T-Shirt,Clothing,499,4.1
133,Keyboard,Electronics,1299,4.5
134,Office Chair,Furniture,6499,4.6
135,Running Shoes,Footwear,2499,4.5
136,Keyboard,Electronics,1299,4.5
137,Wireless Mouse,Electronics,799,4.3
138,Office Chair,Furniture,6499,4.6
139,Office Chair,Furniture,6499,4.6
140,Formal Shirt,Clothing,1299,4.4
141,Water Bottle,Home,399,4.3
142,Desk Lamp,Home,899,4.3
143,Smartphone Cover,Accessories,399,4.1
144,Smartphone Cover,Accessories,399,4.1
145,Coffee Mug,Home,349,4.2
146,Office Chair,Furniture,6499,4.6
147,Bluetooth Speaker,Electronics,2599,4.5
148,T-Shirt,Clothing,499,4.1
149,Smart Watch,Electronics,2999,4.6
150,Coffee Mug,Home,349,4.2
151,Backpack,Accessories,999,4.2
152,Sunglasses,Accessories,699,4.0
153,Backpack,Accessories,999,4.2
154,Sports Cap,Accessories,499,4.0
155,Jeans,Clothing,1499,4.4
156,Power Bank,Electronics,1799,4.5
157,Sports Cap,Accessories,499,4.0
158,Sunglasses,Accessories,699,4.0
159,Keyboard,Electronics,1299,4.5
160,Bluetooth Speaker,Electronics,2599,4.5
161,Smartphone Cover,Accessories,399,4.1
162,Backpack,Accessories,999,4.2
163,Office Chair,Furniture,6499,4.6
164,Headphones,Electronics,1999,4.4
165,Smartphone Cover,Accessories,399,4.1
166,T-Shirt,Clothing,499,4.1
167,Power Bank,Electronics,1799,4.5
168,Formal Shirt,Clothing,1299,4.4
169,Jeans,Clothing,1499,4.4
170,Sports Cap,Accessories,499,4.0
171,Headphones,Electronics,1999,4.4
172,Jeans,Clothing,1499,4.4
173,Keyboard,Electronics,1299,4.5
174,Running Shoes,Footwear,2499,4.5
175,Water Bottle,Home,399,4.3
176,Jeans,Clothing,1499,4.4
177,Sports Cap,Accessories,499,4.0
178,Office Chair,Furniture,6499,4.6
179,Keyboard,Electronics,1299,4.5
180,Water Bottle,Home,399,4.3
181,Jeans,Clothing,1499,4.4
182,Power Bank,Electronics,1799,4.5
183,Desk Lamp,Home,899,4.3
184,Smartphone Cover,Accessories,399,4.1
185,Headphones,Electronics,1999,4.4
186,Power Bank,Electronics,1799,4.5
187,Headphones,Electronics,1999,4.4
188,Desk Lamp,Home,899,4.3
189,Notebook Pack,Stationery,299,4.2
190,Sports Cap,Accessories,499,4.0
191,Smartphone Cover,Accessories,399,4.1
192,Notebook Pack,Stationery,299,4.2
193,Sunglasses,Accessories,699,4.0
194,Smartphone Cover,Accessories,399,4.1
195,Notebook Pack,Stationery,299,4.2
196,Wireless Mouse,Electronics,799,4.3
197,Backpack,Accessories,999,4.2
198,Sunglasses,Accessories,699,4.0
199,Wireless Mouse,Electronics,799,4.3
200,Office Chair,Furniture,6499,4.6
201,Headphones,Electronics,1999,4.4
202,Laptop Stand,Electronics,1199,4.4
203,Coffee Mug,Home,349,4.2
204,Formal Shirt,Clothing,1299,4.4
205,Headphones,Electronics,1999,4.4
206,T-Shirt,Clothing,499,4.1
207,T-Shirt,Clothing,499,4.1
208,Wireless Mouse,Electronics,799,4.3
209,Smart Watch,Electronics,2999,4.6
210,Water Bottle,Home,399,4.3
211,Backpack,Accessories,999,4.2
212,Sunglasses,Accessories,699,4.0
213,Backpack,Accessories,999,4.2
214,Sunglasses,Accessories,699,4.0
215,Headphones,Electronics,1999,4.4
216,Office Chair,Furniture,6499,4.6
217,Keyboard,Electronics,1299,4.5
218,Wireless Mouse,Electronics,799,4.3
219,Desk Lamp,Home,899,4.3
220,Smart Watch,Electronics,2999,4.6
221,T-Shirt,Clothing,499,4.1
222,Office Chair,Furniture,6499,4.6
223,Headphones,Electronics,1999,4.4
224,T-Shirt,Clothing,499,4.1
225,Wireless Mouse,Electronics,799,4.3
226,T-Shirt,Clothing,499,4.1
227,Smart Watch,Electronics,2999,4.6
228,Smartphone Cover,Accessories,399,4.1
229,Power Bank,Electronics,1799,4.5
230,T-Shirt,Clothing,499,4.1
231,Wireless Mouse,Electronics,799,4.3
232,Smart Watch,Electronics,2999,4.6
233,Power Bank,Electronics,1799,4.5
234,Backpack,Accessories,999,4.2
235,Sunglasses,Accessories,699,4.0
236,Smartphone Cover,Accessories,399,4.1
237,Smartphone Cover,Accessories,399,4.1
238,Water Bottle,Home,399,4.3
239,Notebook Pack,Stationery,299,4.2
240,Coffee Mug,Home,349,4.2
241,Backpack,Accessories,999,4.2
242,Formal Shirt,Clothing,1299,4.4
243,Bluetooth Speaker,Electronics,2599,4.5
244,Jeans,Clothing,1499,4.4
245,Smart Watch,Electronics,2999,4.6
246,Backpack,Accessories,999,4.2
247,Notebook Pack,Stationery,299,4.2
248,Smartphone Cover,Accessories,399,4.1
249,Laptop Stand,Electronics,1199,4.4
250,Jeans,Clothing,1499,4.4
251,Notebook Pack,Stationery,299,4.2
252,Backpack,Accessories,999,4.2
253,Coffee Mug,Home,349,4.2
254,Keyboard,Electronics,1299,4.5
255,Water Bottle,Home,399,4.3
256,Notebook Pack,Stationery,299,4.2
257,Running Shoes,Footwear,2499,4.5
258,Office Chair,Furniture,6499,4.6
259,Office Chair,Furniture,6499,4.6
260,Bluetooth Speaker,Electronics,2599,4.5
261,Laptop Stand,Electronics,1199,4.4
262,Backpack,Accessories,999,4.2
263,Wireless Mouse,Electronics,799,4.3
264,Wireless Mouse,Electronics,799,4.3
265,Bluetooth Speaker,Electronics,2599,4.5
266,Notebook Pack,Stationery,299,4.2
267,Sunglasses,Accessories,699,4.0
268,T-Shirt,Clothing,499,4.1
269,Backpack,Accessories,999,4.2
270,Running Shoes,Footwear,2499,4.5
271,Headphones,Electronics,1999,4.4
272,Sunglasses,Accessories,699,4.0
273,Smart Watch,Electronics,2999,4.6
274,Wireless Mouse,Electronics,799,4.3
275,Coffee Mug,Home,349,4.2
276,Water Bottle,Home,399,4.3
277,Office Chair,Furniture,6499,4.6
278,Smartphone Cover,Accessories,399,4.1
279,Sunglasses,Accessories,699,4.0
280,Bluetooth Speaker,Electronics,2599,4.5
281,Formal Shirt,Clothing,1299,4.4
282,Formal Shirt,Clothing,1299,4.4
283,Bluetooth Speaker,Electronics,2599,4.5
284,Office Chair,Furniture,6499,4.6
285,Backpack,Accessories,999,4.2
286,Keyboard,Electronics,1299,4.5
287,T-Shirt,Clothing,499,4.1
288,Formal Shirt,Clothing,1299,4.4
289,Smart Watch,Electronics,2999,4.6
290,Formal Shirt,Clothing,1299,4.4
291,Formal Shirt,Clothing,1299,4.4
292,Formal Shirt,Clothing,1299,4.4
293,Keyboard,Electronics,1299,4.5
294,Keyboard,Electronics,1299,4.5
295,Smart Watch,Electronics,2999,4.6
296,Wireless Mouse,Electronics,799,4.3
297,Wireless Mouse,Electronics,799,4.3
298,Coffee Mug,Home,349,4.2
299,Keyboard,Electronics,1299,4.5
300,Office Chair,Furniture,6499,4.6
301,Running Shoes,Footwear,2499,4.5
302,Jeans,Clothing,1499,4.4
303,Laptop Stand,Electronics,1199,4.4
304,Formal Shirt,Clothing,1299,4.4
305,Running Shoes,Footwear,2499,4.5
306,Smart Watch,Electronics,2999,4.6
307,Bluetooth Speaker,Electronics,2599,4.5
308,Keyboard,Electronics,1299,4.5
309,Running Shoes,Footwear,2499,4.5
310,Laptop Stand,Electronics,1199,4.4
311,Desk Lamp,Home,899,4.3
312,Desk Lamp,Home,899,4.3
313,Wireless Mouse,Electronics,799,4.3
314,Sunglasses,Accessories,699,4.0
315,Running Shoes,Footwear,2499,4.5
316,Desk Lamp,Home,899,4.3
317,T-Shirt,Clothing,499,4.1
318,Bluetooth Speaker,Electronics,2599,4.5
319,Jeans,Clothing,1499,4.4
320,Coffee Mug,Home,349,4.2
321,T-Shirt,Clothing,499,4.1
322,Coffee Mug,Home,349,4.2
323,Bluetooth Speaker,Electronics,2599,4.5
324,Backpack,Accessories,999,4.2
325,Bluetooth Speaker,Electronics,2599,4.5
326,Sunglasses,Accessories,699,4.0
327,Wireless Mouse,Electronics,799,4.3
328,Headphones,Electronics,1999,4.4
329,Backpack,Accessories,999,4.2
330,Sports Cap,Accessories,499,4.0
331,Headphones,Electronics,1999,4.4
332,Wireless Mouse,Electronics,799,4.3
333,Laptop Stand,Electronics,1199,4.4
334,Sports Cap,Accessories,499,4.0
335,Water Bottle,Home,399,4.3
336,T-Shirt,Clothing,499,4.1
337,Backpack,Accessories,999,4.2
338,Desk Lamp,Home,899,4.3
339,Desk Lamp,Home,899,4.3
340,Bluetooth Speaker,Electronics,2599,4.5
341,Formal Shirt,Clothing,1299,4.4
342,Keyboard,Electronics,1299,4.5
343,Wireless Mouse,Electronics,799,4.3
344,Desk Lamp,Home,899,4.3
345,Office Chair,Furniture,6499,4.6
346,Smart Watch,Electronics,2999,4.6
347,Smart Watch,Electronics,2999,4.6
348,Sunglasses,Accessories,699,4.0
349,Sunglasses,Accessories,699,4.0
350,T-Shirt,Clothing,499,4.1
351,Coffee Mug,Home,349,4.2
352,Desk Lamp,Home,899,4.3
353,Desk Lamp,Home,899,4.3
354,T-Shirt,Clothing,499,4.1
355,Bluetooth Speaker,Electronics,2599,4.5
356,Wireless Mouse,Electronics,799,4.3
357,Bluetooth Speaker,Electronics,2599,4.5
358,Laptop Stand,Electronics,1199,4.4
359,Formal Shirt,Clothing,1299,4.4
360,Headphones,Electronics,1999,4.4
361,Jeans,Clothing,1499,4.4
362,Running Shoes,Footwear,2499,4.5
363,Headphones,Electronics,1999,4.4
364,Bluetooth Speaker,Electronics,2599,4.5
365,T-Shirt,Clothing,499,4.1
366,Desk Lamp,Home,899,4.3
367,T-Shirt,Clothing,499,4.1
368,Sports Cap,Accessories,499,4.0
369,Power Bank,Electronics,1799,4.5
370,Sports Cap,Accessories,499,4.0
371,Keyboard,Electronics,1299,4.5
372,T-Shirt,Clothing,499,4.1
373,Desk Lamp,Home,899,4.3
374,Sunglasses,Accessories,699,4.0
375,Jeans,Clothing,1499,4.4
376,Wireless Mouse,Electronics,799,4.3
377,Jeans,Clothing,1499,4.4
378,Wireless Mouse,Electronics,799,4.3
379,Power Bank,Electronics,1799,4.5
380,Desk Lamp,Home,899,4.3
381,Bluetooth Speaker,Electronics,2599,4.5
382,Headphones,Electronics,1999,4.4
383,Backpack,Accessories,999,4.2
384,T-Shirt,Clothing,499,4.1
385,Formal Shirt,Clothing,1299,4.4
386,Wireless Mouse,Electronics,799,4.3
387,Desk Lamp,Home,899,4.3
388,Office Chair,Furniture,6499,4.6
389,Coffee Mug,Home,349,4.2
390,Power Bank,Electronics,1799,4.5
391,Running Shoes,Footwear,2499,4.5
392,Running Shoes,Footwear,2499,4.5
393,Notebook Pack,Stationery,299,4.2
394,Coffee Mug,Home,349,4.2
395,Headphones,Electronics,1999,4.4
396,Keyboard,Electronics,1299,4.5
397,Wireless Mouse,Electronics,799,4.3
398,Smartphone Cover,Accessories,399,4.1
399,Wireless Mouse,Electronics,799,4.3
400,Smart Watch,Electronics,2999,4.6
401,Desk Lamp,Home,899,4.3
402,Coffee Mug,Home,349,4.2
403,Jeans,Clothing,1499,4.4
404,T-Shirt,Clothing,499,4.1
405,Formal Shirt,Clothing,1299,4.4
406,Formal Shirt,Clothing,1299,4.4
407,Office Chair,Furniture,6499,4.6
408,Power Bank,Electronics,1799,4.5
409,Running Shoes,Footwear,2499,4.5
410,T-Shirt,Clothing,499,4.1
411,Sunglasses,Accessories,699,4.0
412,Smart Watch,Electronics,2999,4.6
413,Formal Shirt,Clothing,1299,4.4
414,Power Bank,Electronics,1799,4.5
415,T-Shirt,Clothing,499,4.1
416,Wireless Mouse,Electronics,799,4.3
417,Bluetooth Speaker,Electronics,2599,4.5
418,Wireless Mouse,Electronics,799,4.3
419,T-Shirt,Clothing,499,4.1
420,Sports Cap,Accessories,499,4.0
421,Water Bottle,Home,399,4.3
422,T-Shirt,Clothing,499,4.1
423,Headphones,Electronics,1999,4.4
424,Power Bank,Electronics,1799,4.5
425,Sports Cap,Accessories,499,4.0
426,Smartphone Cover,Accessories,399,4.1
427,Keyboard,Electronics,1299,4.5
428,Water Bottle,Home,399,4.3
429,Keyboard,Electronics,1299,4.5
430,Formal Shirt,Clothing,1299,4.4
431,Headphones,Electronics,1999,4.4
432,Wireless Mouse,Electronics,799,4.3
433,Sunglasses,Accessories,699,4.0
434,Laptop Stand,Electronics,1199,4.4
435,Desk Lamp,Home,899,4.3
436,Backpack,Accessories,999,4.2
437,Water Bottle,Home,399,4.3
438,T-Shirt,Clothing,499,4.1
439,Sports Cap,Accessories,499,4.0
440,Notebook Pack,Stationery,299,4.2
441,Backpack,Accessories,999,4.2
442,Jeans,Clothing,1499,4.4
443,Notebook Pack,Stationery,299,4.2
444,Bluetooth Speaker,Electronics,2599,4.5
445,Wireless Mouse,Electronics,799,4.3
446,Headphones,Electronics,1999,4.4
447,Power Bank,Electronics,1799,4.5
448,Desk Lamp,Home,899,4.3
449,Power Bank,Electronics,1799,4.5
450,Office Chair,Furniture,6499,4.6
451,Coffee Mug,Home,349,4.2
452,Smartphone Cover,Accessories,399,4.1
453,Keyboard,Electronics,1299,4.5
454,Keyboard,Electronics,1299,4.5
455,Coffee Mug,Home,349,4.2
456,Formal Shirt,Clothing,1299,4.4
457,Bluetooth Speaker,Electronics,2599,4.5
458,Water Bottle,Home,399,4.3
459,Running Shoes,Footwear,2499,4.5
